,class,number_of_exclamation_mark,number_of_question_mark,number_of_full_stop_mark,number_of_hateful_words,number_of_neutral_words,number_of_interjections,number_of_all_caps_words,number_of_quotation_marks,number_of_words,number_of_laughing_expressions,hate_speech_unigrams,hate_speech_bigrams,hate_speech_trigrams,unigrams,bigrams,trigrams,pattern_count,patterns,sentiment,topic
104,1,0,0,0,0,1,0,0,0,17,0,2,0,0,"[('teabagg',), ('near',)]",[],[],7,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('PRP', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('DT', 'JJ'), ('NN', 'NN')}",0.0,0
105,1,0,0,0,0,4,0,0,0,19,0,3,0,0,"[('stand',), ('let',), ('talk',)]",[],[],5,"{('JJ', 'NNS'), ('NNS', 'IN'), ('PRP', 'VBP'), ('IN', 'DT'), ('DT', 'NN')}",0.0,0
106,1,0,0,1,0,0,0,0,0,10,0,1,0,0,"[('babi',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.5719,0
107,1,0,0,1,0,1,0,0,0,12,0,1,0,0,"[('monkey',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.0,1
108,1,0,0,1,0,2,0,1,0,19,0,7,0,0,"[('work',), ('like',), ('teabagg',), ('child',), ('pretti',), ('state',), ('law',)]",[],[],3,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN')}",0.6908,0
109,1,0,0,1,0,3,0,0,0,19,0,0,0,0,[],[],[],6,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.4215,1
110,1,1,0,2,0,3,0,0,0,16,0,4,0,0,"[('teabagg',), ('love',), ('talk',), ('beauti',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'NN'), ('DT', 'NN')}",0.8356,1
111,1,0,0,1,0,0,0,0,0,7,0,0,0,0,[],[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.0,1
112,1,1,0,2,0,1,0,0,0,11,0,2,0,0,"[('get',), ('true',)]",[],[],5,"{('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.4753,1
113,1,0,0,1,0,0,0,0,0,5,0,0,0,0,[],[],[],1,"{('NN', 'NN')}",0.0,1
114,0,0,0,2,2,1,0,0,0,7,0,2,0,0,"[('fuck',), ('racist',)]",[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('DT', 'NN')}",-0.8176,0
115,0,0,0,0,3,0,0,3,0,25,0,5,0,0,"[('beat',), ('watch',), ('yo',), ('rt',), ('faggot',)]",[],[],6,"{('PRP', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",-0.5994,0
116,0,0,0,0,0,1,0,0,0,8,0,1,0,0,"[('nicca',)]",[],[],3,"{('JJ', 'NN'), ('TO', 'VB'), ('NN', 'NN')}",0.0,1
117,1,1,1,0,0,2,0,1,0,17,0,3,0,0,"[('look',), ('hope',), ('rt',)]",[],[],4,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN')}",0.4926,0
118,1,0,0,0,0,2,0,0,0,5,0,1,0,0,"[('call',)]",[],[],1,"{('IN', 'NN')}",0.0,1
119,0,0,0,0,3,3,0,2,0,19,0,8,1,0,"[('-pron-',), ('face',), ('got',), ('said',), ('hoe',), ('rt',), ('pretti',), ('to',)]","[('got', 'to')]",[],6,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN')}",0.3071,0
120,0,0,0,0,0,0,0,1,0,17,0,3,0,0,"[('america',), ('nicca',), ('rt',)]",[],[],3,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,0
121,1,0,0,2,1,0,0,0,0,14,1,2,0,0,"[('nig',), ('lol',)]",[],[],4,"{('NN', 'CC'), ('NN', 'IN'), ('NN', 'NN'), ('PRP', 'VBP')}",0.7096,0
122,1,0,0,4,1,3,0,0,0,16,0,4,0,0,"[('chang',), ('ill',), ('trash',), ('guess',)]",[],[],4,"{('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.4215,0
123,1,0,0,0,0,3,0,0,0,9,0,2,0,0,"[('monkey',), ('work',)]",[],[],2,"{('NNS', 'VBP'), ('NN', 'IN')}",-0.1027,1
124,1,0,0,0,0,1,0,0,0,2,0,2,0,0,"[('mad',), ('monkey',)]",[],[],1,"{('NN', 'NN')}",-0.4939,1
125,1,1,0,0,1,1,0,1,0,8,0,4,0,0,"[('uncl',), ('real',), ('rt',), ('work',)]",[],[],4,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN')}",0.0,1
126,0,2,0,3,3,1,0,1,0,15,0,3,0,0,"[('place',), ('fag',), ('rt',)]",[],[],5,"{('DT', 'NN'), ('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",-0.4184,0
127,1,0,0,5,0,0,0,0,0,19,0,1,0,0,"[('happi',)]",[],[],4,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN'), ('IN', 'DT')}",0.0,1
128,0,0,0,4,2,0,0,0,0,22,0,2,0,0,"[('make',), ('queer',)]",[],[],7,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('IN', 'DT'), ('IN', 'NN'), ('DT', 'NN')}",0.0,1
129,1,0,0,1,0,2,0,1,0,23,0,3,0,0,"[('head',), ('left',), ('turn',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",-0.3612,0
130,1,1,0,1,0,4,0,0,0,16,0,2,0,0,"[('love',), ('truth',)]",[],[],5,"{('PRP', 'VBP'), ('NN', 'IN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.7777,0
131,1,0,0,0,0,4,0,0,0,12,0,3,0,0,"[('best',), ('game',), ('suck',)]",[],[],2,"{('JJ', 'NN'), ('PRP', 'VBP')}",0.3182,1
132,1,0,0,2,0,0,0,0,0,20,0,4,1,0,"[('be',), ('play',), ('trash',), ('not',)]","[('be', 'not')]",[],3,"{('NN', 'CC'), ('JJ', 'NN'), ('NN', 'NN')}",-0.1511,1
133,1,0,0,1,1,5,0,0,0,14,0,1,0,0,"[('kill',)]",[],[],2,"{('NN', 'NN'), ('NNS', 'IN')}",-0.6597,0
